2022-10-07 09:08:46 startup archives install
2022-10-07 09:08:46 install base-passwd:amd64 <none> 3.5.39
2022-10-07 09:08:46 status half-installed base-passwd:amd64 3.5.39
2022-10-07 09:08:46 status unpacked base-passwd:amd64 3.5.39
2022-10-07 09:08:46 status unpacked base-passwd:amd64 3.5.39
2022-10-07 09:08:46 configure base-passwd:amd64 3.5.39 3.5.39
2022-10-07 09:08:46 status unpacked base-passwd:amd64 3.5.39
2022-10-07 09:08:46 status half-configured base-passwd:amd64 3.5.39
2022-10-07 09:08:46 status installed base-passwd:amd64 3.5.39
2022-10-07 09:08:46 startup archives install
2022-10-07 09:08:46 install base-files:amd64 <none> 9.4ubuntu4
2022-10-07 09:08:46 status half-installed base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 configure base-files:amd64 9.4ubuntu4 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status unpacked base-files:amd64 9.4ubuntu4
2022-10-07 09:08:46 status half-configured base-files:amd64 9.4ubuntu4
2022-10-07 09:08:47 status installed base-files:amd64 9.4ubuntu4
2022-10-07 09:08:47 startup archives install
2022-10-07 09:08:47 upgrade dpkg 1.18.4ubuntu1 1.18.4ubuntu1
2022-10-07 09:08:47 status half-configured dpkg 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg 1.18.4ubuntu1
2022-10-07 09:08:47 status half-installed dpkg 1.18.4ubuntu1
2022-10-07 09:08:47 status half-installed dpkg 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 configure dpkg:amd64 1.18.4ubuntu1 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status unpacked dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status half-configured dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 status installed dpkg:amd64 1.18.4ubuntu1
2022-10-07 09:08:47 startup archives install
2022-10-07 09:08:47 install libc6:amd64 <none> 2.23-0ubuntu3
2022-10-07 09:08:47 status half-installed libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 status unpacked libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 status unpacked libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 configure libc6:amd64 2.23-0ubuntu3 2.23-0ubuntu3
2022-10-07 09:08:48 status unpacked libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 status unpacked libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 status half-configured libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 status installed libc6:amd64 2.23-0ubuntu3
2022-10-07 09:08:48 startup archives install
2022-10-07 09:08:48 install perl-base:amd64 <none> 5.22.1-9
2022-10-07 09:08:48 status half-installed perl-base:amd64 5.22.1-9
2022-10-07 09:08:49 status unpacked perl-base:amd64 5.22.1-9
2022-10-07 09:08:49 status unpacked perl-base:amd64 5.22.1-9
2022-10-07 09:08:49 configure perl-base:amd64 5.22.1-9 5.22.1-9
2022-10-07 09:08:49 status unpacked perl-base:amd64 5.22.1-9
2022-10-07 09:08:49 status half-configured perl-base:amd64 5.22.1-9
2022-10-07 09:08:49 status installed perl-base:amd64 5.22.1-9
2022-10-07 09:08:49 startup archives install
2022-10-07 09:08:49 install mawk:amd64 <none> 1.3.3-17ubuntu2
2022-10-07 09:08:49 status half-installed mawk:amd64 1.3.3-17ubuntu2
2022-10-07 09:08:49 status unpacked mawk:amd64 1.3.3-17ubuntu2
